Segment,Size,Purchase Rate (%),Marketing Action
Segment 1,6128,0.16,🔴 Cold - Re-engagement Campaign & Special Deals
Segment 2,10547,78.96,🟢 VIP - Loyalty Rewards & Premium Offers
