iter	Logloss
0	0.5963312243
1	0.5229316215
2	0.4701432429
3	0.4311297118
4	0.3931234071
5	0.3665834683
6	0.3449339185
7	0.329208736
8	0.3129749135
9	0.3012460574
10	0.290164858
11	0.2792349899
12	0.2682711188
13	0.2611193586
14	0.2525899639
15	0.2470396831
16	0.239306094
17	0.2363933653
18	0.2309423134
19	0.2265074289
20	0.2230650489
21	0.2208104408
22	0.219232549
23	0.2173139373
24	0.2146367356
25	0.2123290715
26	0.2103525601
27	0.206587037
28	0.2036789851
29	0.2021827433
30	0.1998226292
31	0.1971141738
32	0.1942145647
33	0.1918607155
34	0.1903600266
35	0.1881464204
36	0.1867846975
37	0.1854414726
38	0.1833490258
39	0.182123902
40	0.1811682593
41	0.1789385118
42	0.1773256432
43	0.1761933227
44	0.1750019029
45	0.1740391148
46	0.1732656239
47	0.1720456833
48	0.1713603392
49	0.1703964917
50	0.1692475114
51	0.1676381097
52	0.166361156
53	0.1649951142
54	0.1640649218
55	0.1624594792
56	0.1617084149
57	0.1604774105
58	0.1597694669
59	0.1588718764
60	0.1578344069
61	0.1567843748
62	0.1559837724
63	0.1540739633
64	0.1532842172
65	0.1520637236
66	0.1511467616
67	0.1505476366
68	0.1499730499
69	0.1488910687
70	0.1483746795
71	0.1479112426
72	0.1469534221
73	0.1463856392
74	0.1450470251
75	0.1443495923
76	0.1436787689
77	0.1425111807
78	0.1419449585
79	0.1410508735
80	0.14043036
81	0.1397905482
82	0.1391452706
83	0.1385035159
84	0.1368494827
85	0.1364159188
86	0.1359034337
87	0.1352260087
88	0.1343087204
89	0.133772423
90	0.1333136518
91	0.1327401072
92	0.1324026702
93	0.1319268904
94	0.1314616722
95	0.1310383414
96	0.1306423094
97	0.1298851062
98	0.1296572645
99	0.1287110701
100	0.128174184
101	0.1275722508
102	0.1270424684
103	0.1262916715
104	0.1255512746
105	0.1249604652
106	0.1245177478
107	0.1239834035
108	0.1234149801
109	0.122991631
110	0.1226926612
111	0.1218034118
112	0.1212596263
113	0.1207239501
114	0.1202824955
115	0.1199530071
116	0.1192199365
117	0.1181232568
118	0.1175501209
119	0.1171020943
120	0.1166934703
121	0.1163010943
122	0.1159526595
123	0.1153438849
124	0.1145252521
125	0.113751204
126	0.1132169715
127	0.1127783596
128	0.1124326974
129	0.1116882814
130	0.110719452
131	0.1103545781
132	0.1098915397
133	0.1094368343
134	0.1092925987
135	0.1085560835
136	0.1080375592
137	0.1077236946
138	0.1072994997
139	0.1065777258
140	0.1061852177
141	0.105605831
142	0.1050078589
143	0.1045799225
144	0.1042985265
145	0.1037090389
146	0.1028800875
147	0.1024122319
148	0.1021047981
149	0.101757562
150	0.1011628281
151	0.100828306
152	0.1003435263
153	0.09993132345
154	0.0997994429
155	0.0992777007
156	0.09884703134
157	0.09846732561
158	0.09767096688
159	0.09750166224
160	0.09738628493
161	0.09701779758
162	0.09658196028
163	0.09619314482
164	0.09586236523
165	0.09551598726
166	0.09514914088
167	0.09486564746
168	0.0947692623
169	0.09419953442
170	0.09377182369
171	0.09332521028
172	0.09278924836
173	0.09243880457
174	0.09196231411
175	0.0914236874
176	0.09116711037
177	0.09098307054
178	0.09061644479
179	0.09009269865
180	0.08961246568
181	0.08910953566
182	0.08877972804
183	0.08849084504
184	0.08804346198
185	0.08796375189
186	0.08778314143
187	0.08729520485
188	0.08710441406
189	0.08677276518
190	0.08657940415
191	0.08608047794
192	0.08556481058
193	0.08530045369
194	0.08502160562
195	0.08469137912
196	0.08437363883
197	0.08419518583
198	0.0838384913
199	0.08344801555
200	0.0830535665
201	0.08264695353
202	0.08234899537
203	0.08214707466
204	0.0819710394
205	0.08182824751
206	0.08142254652
207	0.08114551227
208	0.08087251944
209	0.08055749072
210	0.08017612164
211	0.07997171203
212	0.07967711715
213	0.07921210738
214	0.07894418489
215	0.07856387929
216	0.07810482033
217	0.07782550661
218	0.07747568911
219	0.07718414843
220	0.07692407596
221	0.07650978885
222	0.07615803554
223	0.07589935494
224	0.07557728651
225	0.07545972328
226	0.07520661832
227	0.07500638026
228	0.0748083261
229	0.0744579301
230	0.07426721252
231	0.0740368961
232	0.07378876896
233	0.07346145939
234	0.07319202606
235	0.07300312839
236	0.07290036541
237	0.07260907484
238	0.0722867314
239	0.0721946027
240	0.07196576966
241	0.07171959104
242	0.07144250392
243	0.07124272542
244	0.07100023135
